Date : 2025-04-20 17:19:58
Directory : c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]
Total : 1436 files,  206518 codes, 3377 comments, 17480 blanks, all 227375 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Lua        |        832 |    158,160 |      2,280 |      7,715 |    168,155 |
| CSS        |         61 |     14,437 |        195 |      1,758 |     16,390 |
| Markdown   |        264 |     13,564 |          0 |      5,809 |     19,373 |
| JavaScript |         62 |     12,905 |        257 |      1,425 |     14,587 |
| HTML       |         28 |      3,943 |         65 |        243 |      4,251 |
| YAML       |        171 |      3,084 |        578 |        501 |      4,163 |
| MS SQL     |         14 |        337 |          1 |         28 |        366 |
| XML        |          2 |         85 |          1 |          1 |         87 |
| JSON       |          2 |          3 |          0 |          0 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                 |      1,436 |    206,518 |      3,377 |     17,480 |    227,375 |
| qb-adminmenu                                                                                                                                      |         33 |     60,864 |         95 |        424 |     61,383 |
| qb-adminmenu (Files)                                                                                                                              |          2 |         45 |          0 |         14 |         59 |
| qb-adminmenu\.github                                                                                                                              |          7 |        223 |         11 |        104 |        338 |
| qb-adminmenu\.github (Files)                                                                                                                      |          3 |        140 |          6 |         84 |        230 |
| qb-adminmenu\.github\ISSUE_TEMPLATE                                                                                                               |          2 |         40 |          0 |         14 |         54 |
| qb-adminmenu\.github\workflows                                                                                                                    |          2 |         43 |          5 |          6 |         54 |
| qb-adminmenu\client                                                                                                                               |          5 |      2,105 |         76 |        221 |      2,402 |
| qb-adminmenu\entityhashes                                                                                                                         |          1 |     53,901 |          0 |          1 |     53,902 |
| qb-adminmenu\html                                                                                                                                 |          2 |         12 |          0 |          2 |         14 |
| qb-adminmenu\locales                                                                                                                              |         15 |      4,091 |          2 |         30 |      4,123 |
| qb-adminmenu\server                                                                                                                               |          1 |        487 |          6 |         52 |        545 |
| qb-ambulancejob                                                                                                                                   |         31 |      5,187 |         91 |        430 |      5,708 |
| qb-ambulancejob (Files)                                                                                                                           |          3 |        450 |         53 |         42 |        545 |
| qb-ambulancejob\.github                                                                                                                           |          7 |        223 |         11 |        104 |        338 |
| qb-ambulancejob\.github (Files)                                                                                                                   |          3 |        140 |          6 |         84 |        230 |
| qb-ambulancejob\.github\ISSUE_TEMPLATE                                                                                                            |          2 |         40 |          0 |         14 |         54 |
| qb-ambulancejob\.github\workflows                                                                                                                 |          2 |         43 |          5 |          6 |         54 |
| qb-ambulancejob\client                                                                                                                            |          5 |      2,061 |         20 |        205 |      2,286 |
| qb-ambulancejob\locales                                                                                                                           |         15 |      2,026 |          0 |         29 |      2,055 |
| qb-ambulancejob\server                                                                                                                            |          1 |        427 |          7 |         50 |        484 |
| qb-apartments                                                                                                                                     |         28 |      1,817 |         29 |        286 |      2,132 |
| qb-apartments (Files)                                                                                                                             |          4 |        223 |          0 |         20 |        243 |
| qb-apartments\.github                                                                                                                             |          7 |        223 |         11 |        105 |        339 |
| qb-apartments\.github (Files)                                                                                                                     |          3 |        140 |          6 |         85 |        231 |
| qb-apartments\.github\ISSUE_TEMPLATE                                                                                                              |          2 |         40 |          0 |         14 |         54 |
| qb-apartments\.github\workflows                                                                                                                   |          2 |         43 |          5 |          6 |         54 |
| qb-apartments\client                                                                                                                              |          1 |        671 |         15 |        103 |        789 |
| qb-apartments\locales                                                                                                                             |         15 |        496 |          0 |         28 |        524 |
| qb-apartments\server                                                                                                                              |          1 |        204 |          3 |         30 |        237 |
| qb-banking                                                                                                                                        |         21 |      2,258 |         26 |        265 |      2,549 |
| qb-banking (Files)                                                                                                                                |          6 |        753 |         10 |         83 |        846 |
| qb-banking\.github                                                                                                                                |          7 |        223 |         11 |        104 |        338 |
| qb-banking\.github (Files)                                                                                                                        |          3 |        140 |          6 |         84 |        230 |
| qb-banking\.github\ISSUE_TEMPLATE                                                                                                                 |          2 |         40 |          0 |         14 |         54 |
| qb-banking\.github\workflows                                                                                                                      |          2 |         43 |          5 |          6 |         54 |
